,Name,Set,New_Price,Old Price,PCT
1,Citanul Hierophants,Urza's Saga, $28.49 , $3.94 ,+623.10% 
2,Vengeful Ancestor,Commander: Adventures in the Forgotten Realms, $2.46 , $0.92 ,+167.39% 
3,Unlicensed Hearse (Extended Art),Streets Of New Capenna: Extras, $7.80 , $3.50 ,+122.86% 
4,Worst Fears,Journey into Nyx, $7.69 , $3.49 ,+120.34% 
5,Island of Wak-Wak,Arabian Nights, $1499.99 , $823.41 ,+82.17% 
6,"Jadar, Ghoulcaller of Nephalia",Innistrad: Double Feature, $2.84 , $1.65 ,+72.12% 
7,Unlicensed Hearse,Streets Of New Capenna, $5.05 , $3.00 ,+68.33% 
8,"Ashling, the Extinguisher",Eventide, $19.71 , $11.99 ,+64.39% 
9,Wood Elves,Starter 1999, $8.24 , $5.23 ,+57.55% 
10,Counterspell (331),Secret Lair Series, $14.01 , $8.96 ,+56.36%
11,New Card,New Set,Big money,Small money,some percentage
